,Make,Model,Year of manufacture,Kilometer,Previous owners,Body style,Horsepower,Cubic capacity (ccm),Cylinders,Doors,Steering,Gearbox,Gears,Transmission,Front breaks,Rear breaks,Fuel type,Price (£)
5155,FIAT,Barchetta,2003,80334,2,Convertible (Roadster),131,1747,4,2,Left (LHD),Manual,5,Front,Disc,Disc,Petrol,10356
5187,Mazda,MX-5 1.6,1990,282377,2,Convertible (Roadster),115,1598,4,2,Left (LHD),Manual,5,Rear,Disc,Disc,Petrol,7745
5191,Saab,900 Turbo S,1987,99620,6,Convertible,160,1985,4,2,Left (LHD),Manual,5,Front,Disc,Disc,Petrol,12096
5202,Alfa Romeo,2000 Spider Veloce,1979,97122,5,Convertible,111,1962,4,2,Left (LHD),Manual,5,Rear,Disc,Disc,Petrol,18188
5228,MG,TF 135,2003,104901,3,Convertible (Roadster),136,1796,4,2,Left (LHD),Manual,5,Rear,Disc,Disc,Petrol,9486
5230,MG,TF 135,2002,120388,6,Convertible (Roadster),136,1796,4,2,Left (LHD),Manual,5,Rear,Disc,Disc,Petrol,6005
5242,Mercedes-Benz,450 SL,1973,205243,6,Convertible (Roadster),225,4500,8,2,Left (LHD),Automatic,3,Rear,Disc,Disc,Petrol,6875
5247,Triumph,TR 3A,1958,43489,2,Convertible (Roadster),100,2000,4,2,Left (LHD),Manual,4,Rear,Disc,Drum,Petrol,30371
5248,Mini,Cooper Countryman,2011,131527,3,4x4,122,1598,4,5,Left (LHD),Manual,6,Front,Disc,Disc,Petrol,11226
5249,Suzuki,Alto,2014,70382,2,Small car (Small Car),68,996,3,5,Left (LHD),Manual,5,Front,Disc,Disc,Petrol,5874
5257,Innocenti,Mini Cooper 1300,1974,15191,6,Saloon (2-doors),71,1275,4,2,Left (LHD),Manual,4,Front,Disc,Drum,Petrol,15577
5261,Porsche,924 S,1987,131756,6,Coupe,160,2479,4,2,Left (LHD),Manual,5,Rear,Disc,Disc,Petrol,12096
5262,FIAT,500 L,1969,55303,1,Saloon (2-doors),18,499,2,2,Left (LHD),Manual,4,Rear,Drum,Drum,Petrol,6875
5265,Mazda,MX-5 1.6,1990,12345,6,Convertible (Roadster),115,1598,4,2,Left (LHD),Manual,5,Rear,Disc,Disc,Petrol,4727
5272,Mazda,MX-5 1.6,1999,185748,2,Convertible (Roadster),110,1597,4,2,Left (LHD),Manual,5,Rear,Disc,Disc,Petrol,5134
5274,Saab,900 Turbo S,1990,248706,1,Convertible,160,1985,4,2,Left (LHD),Automatic,5,Front,Disc,Disc,Petrol,12096
5275,TVR,"Chimaera 4,0",1993,78386,2,Convertible,209,3950,8,2,Left (LHD),Manual,5,Rear,Disc,Disc,Petrol,17318
5276,Mini,Cooper Countryman,2011,126616,6,4x4,122,1598,4,5,Left (LHD),Manual,6,Front,Disc,Disc,Petrol,11226
5279,Triumph,TR 3A,1959,38177,2,Convertible (Roadster),100,1991,4,2,Left (LHD),Manual,4,Rear,Disc,Drum,Petrol,24279
5282,Mercury,Capri XR2,1993,153251,5,Convertible,102,1598,4,2,Left (LHD),Manual,5,Front,Disc,Disc,Petrol,3394
5283,Mercedes-Benz,450 SLC,1978,56250,2,Coupe,217,4520,8,2,Left (LHD),Automatic,3,Rear,Disc,Disc,Petrol,65250
5285,Ford,Streetka,2003,229889,1,Small car (Convertible),95,1597,4,2,Left (LHD),Manual,5,Front,Disc,Disc,Petrol,3394
5286,Mercedes-Benz,AMG E 63 S 4MATIC+ T,2018,43400,2,Estate,612,3982,8,5,Left (LHD),Automatic,9,4WD,Disc,Disc,Petrol,65433
5291,FIAT,Barchetta,2005,126928,6,Convertible (Roadster),131,1747,4,2,Left (LHD),Manual,5,Front,Disc,Disc,Petrol,8615
5293,MG,F 1.8i,2000,77384,6,Convertible,120,1796,4,2,Left (LHD),Manual,5,Rear,Disc,Disc,Petrol,6875
5294,Mazda,MX-5 1.6,2000,215346,1,Convertible (Roadster),110,1597,4,2,Left (LHD),Manual,5,Rear,Disc,Disc,Petrol,6005
5305,Triumph,TR 6,1973,7909,2,Convertible (Roadster),106,2498,6,2,Left (LHD),Manual,4,Rear,Disc,Drum,Petrol,12966
5309,Mazda,MX-5 1.6,2003,113200,6,Convertible (Roadster),110,1598,4,2,Left (LHD),Manual,5,Rear,Disc,Disc,Petrol,9486
5313,FIAT,Barchetta,1996,115894,3,Convertible (Roadster),131,1747,4,2,Left (LHD),Manual,5,Front,Disc,Disc,Petrol,6005
5320,Austin-Healey,Sprite Mk I,1958,2433,4,Convertible (Roadster),44,948,4,2,Left (LHD),Manual,4,Rear,Disc,Drum,Petrol,24279
5321,MG,MGB GT,1975,19137,2,Coupe,96,1798,4,2,Left (LHD),Manual,5,Rear,Disc,Drum,Petrol,19928
5324,MG,TF 135,2002,153013,5,Convertible (Roadster),136,1796,4,2,Left (LHD),Manual,5,Rear,Disc,Disc,Petrol,5134
5325,Triumph,TR 6 PI,1973,12942,3,Convertible (Roadster),165,2498,6,2,Left (LHD),Manual,4,Rear,Disc,Drum,Petrol,17318
5333,Innocenti,Mini Cooper 1300,1988,95810,6,Saloon (2-doors),71,1293,4,0,Left (LHD),Manual,4,Front,Disc,Drum,Petrol,12966
5371,Ferrari,512 BB,1979,141900,5,Coupe,360,4943,12,2,Left (LHD),Manual,5,Rear,Disc,Disc,Petrol,190580
5374,Mercedes-Benz,380 SE,1984,24000,3,Saloon (4-doors),204,3839,8,4,Left (LHD),Automatic,4,Rear,Disc,Disc,Petrol,34722
5384,Mercedes-Benz,500 SL,1986,86395,6,Convertible (Roadster),223,4973,8,2,Left (LHD),Automatic,4,Rear,Disc,Disc,Petrol,43076
5386,Mercedes-Benz,450 SL,1973,119354,6,Convertible (Roadster),192,4520,8,2,Left (LHD),Automatic,3,Rear,Disc,Disc,Petrol,28718
5388,Mercedes-Benz,450 SL,1973,105287,6,Convertible (Roadster),192,4520,8,2,Left (LHD),Automatic,3,Rear,Disc,Disc,Petrol,26063
5389,Maserati,Mistral 4000,1966,43703,6,Coupe,255,4014,6,2,Left (LHD),Manual,5,Rear,Disc,Disc,Petrol,143544
5404,Porsche,911 Speedster 3.2,1989,39000,2,Convertible (Roadster),231,3164,6,2,Left (LHD),Manual,5,Rear,Disc,Disc,Petrol,208855
5406,Porsche,911 Speedster,1993,80000,4,Convertible (Roadster),250,3600,6,2,Left (LHD),Manual,5,Rear,Disc,Disc,Petrol,213206
5407,Porsche,911 Carrera S,2005,78000,1,Coupe,355,3824,6,2,Left (LHD),Automatic,6,Rear,Disc,Disc,Petrol,54824
5408,Porsche,Macan S Diesel,2015,92000,2,4x4,258,2967,6,5,Left (LHD),Automatic,7,4WD,Disc,Disc,Diesel,40031
5409,Porsche,911 Speedster 3.2,1989,63000,2,Convertible (Roadster),231,3164,6,2,Left (LHD),Manual,5,Rear,Disc,Disc,Petrol,204504
5417,Porsche,Cayenne Diesel,2011,158000,2,4x4,245,2967,6,4,Left (LHD),Automatic,8,4WD,Disc,Disc,Diesel,23496
5419,Porsche,911 Carrera,2019,75000,1,Coupe,385,2981,6,2,Left (LHD),Automatic,8,Rear,Disc,Disc,Petrol,114000
5440,Aston Martin,V12 Vantage S,2015,13200,1,Convertible (Roadster),573,5935,12,2,Left (LHD),Automatic,7,Rear,Disc,Disc,Petrol,140977
5465,Porsche,"911 2.4 T ""Oilflap""",1972,92000,4,Coupe,140,2341,6,2,Left (LHD),Manual,5,Rear,Disc,Disc,Petrol,85283
5468,Land Rover,88,1964,74134,2,4x4 (Open),51,2286,4,3,Left (LHD),Manual,4,4WD,Drum,Drum,Diesel,24366
5489,Porsche,Cayman GT4,2020,17350,1,Coupe,385,3800,6,2,Left (LHD),Manual,6,Rear,Disc,Disc,Petrol,93898
5494,BMW,M 635 CSi,1986,160000,2,Coupe,286,3430,6,2,Left (LHD),Manual,5,Rear,Disc,Disc,Petrol,68661
5521,Renault,Twingo,1993,85000,2,Small car (Small Car),55,1239,4,3,Left (LHD),Manual,5,Front,Disc,Drum,Petrol,4351
5530,Ferrari,California,2011,9800,1,Convertible,460,4297,8,2,Left (LHD),Automatic,7,Rear,Disc,Disc,Petrol,126183
5531,Ferrari,458 Spider,2015,1000,1,Convertible,570,4497,8,2,Left (LHD),Semi-Automatic,7,Rear,Disc,Disc,Petrol,287176
5532,Lamborghini,Gallardo LP 560-4,2009,10700,1,Coupe,560,5204,10,2,Left (LHD),Automatic,6,4WD,Disc,Disc,Petrol,134886
5533,Ferrari,GTC4Lusso,2021,5200,1,Coupe (Hatchback),690,6262,12,2,Left (LHD),Automatic,7,4WD,Disc,Disc,Petrol,282825
5534,Maserati,GranTurismo 4.2,2008,21700,1,Coupe,405,4198,8,2,Left (LHD),Automatic,6,Rear,Disc,Disc,Petrol,59176
5537,Triumph,TR 3A,1959,10205,3,Convertible (Roadster),100,1991,4,2,Left (LHD),Manual,4,Rear,Disc,Drum,Petrol,30458
5581,Porsche,911 Carrera 4 GTS,2016,76600,3,Coupe,430,3800,6,2,Left (LHD),Automatic,7,4WD,Disc,Disc,Petrol,104341
5582,Ferrari,GTC4Lusso T,2019,16500,2,Coupe (Hatchback),610,3855,8,2,Left (LHD),Automatic,7,Rear,Disc,Disc,Petrol,191364
5616,FIAT,500 L,1969,45000,1,Saloon (2-doors),18,499,2,2,Left (LHD),Manual,4,Rear,Drum,Drum,Petrol,15664
5649,Saab,900 Turbo S,1988,220576,6,Convertible,160,1985,4,2,Left (LHD),Automatic,5,Front,Disc,Disc,Petrol,12966
5658,Alfa Romeo,2000 Spider Veloce,1974,42000,3,Convertible,132,1962,4,2,Left (LHD),Manual,5,Rear,Disc,Disc,Petrol,23322
5661,Alfa Romeo,2000 Spider Veloce,1973,75220,3,Convertible,132,1962,4,2,Left (LHD),Manual,5,Rear,Disc,Disc,Petrol,22104
5668,Renault,Twingo 1.2 16V,2002,49457,3,Small car (Small Car),75,1149,4,3,Left (LHD),Manual,5,Front,Disc,Drum,Petrol,3383
5670,Porsche,911 Turbo S,2020,19500,2,Convertible,650,3745,6,2,Left (LHD),Automatic,8,4WD,Disc,Disc,Petrol,207028
5689,Mercedes-Benz,300 SL Roadster,1961,1172,3,Convertible (Roadster),215,2996,6,2,Left (LHD),Manual,4,Rear,Drum,Drum,Petrol,1575116
5715,Lancia,"Delta HF Integrale Evoluzione I ""Martini 5""",1992,20100,1,Saloon (4-doors),210,1,4,4,Left (LHD),Manual,5,4WD,Disc,Disc,Petrol,166214
5738,Lancia,Delta 1.6 LS,1999,317500,1,Saloon (5-doors),103,1581,4,5,Left (LHD),Manual,5,Front,Disc,Disc,Petrol,1610
5764,Mercedes-Benz,500 SL,1984,52733,4,Convertible (Roadster),231,4973,8,2,Left (LHD),Automatic,4,Rear,Disc,Disc,Petrol,47776
5779,Ferrari,308 GTS,1980,120000,4,Convertible (Targa),255,2926,8,2,Left (LHD),Manual,5,Rear,Disc,Disc,Petrol,91374
5830,Mercedes-Benz,500 SEL Guard,1991,58876,1,Saloon (4-doors),245,4973,8,4,Left (LHD),Automatic,4,Rear,Disc,Disc,Petrol,39073
5836,Mercedes-Benz,220 Cabriolet A,1952,141052,3,Convertible,80,2195,6,2,Left (LHD),Manual,4,Rear,Drum,Drum,Petrol,120962
5854,Mercedes-Benz,560 SL,1987,47000,2,Convertible (Roadster),230,5547,8,2,Left (LHD),Automatic,4,Rear,Disc,Disc,Petrol,52127
5874,Mercedes-AMG,GT-S,2015,44110,2,Coupe,510,3982,8,2,Left (LHD),Semi-Automatic,7,Rear,Disc,Disc,Petrol,117481
5894,Triumph,TR 3,1957,8118,2,Convertible (Roadster),415,5700,8,2,Left (LHD),Manual,4,Rear,Disc,Drum,Petrol,85283
5907,Volvo,780 Bertone 2.8 V6,1990,791797,2,Coupe,147,2849,6,2,Left (LHD),Automatic,4,Rear,Disc,Disc,Petrol,8702
5910,Land Rover,Defender,2016,11750,1,4x4,148,2198,4,4,Left (LHD),Manual,6,4WD,Disc,Disc,Diesel,85718
5948,FIAT,500 L,1971,8300,3,Saloon (2-doors),18,499,2,2,Left (LHD),Manual,4,Rear,Drum,Drum,Petrol,10356
5965,Alfa Romeo,159 2.2 JTS 16V,2006,122000,1,Saloon (4-doors),185,2198,4,4,Left (LHD),Manual,6,Front,Disc,Disc,Petrol,11313
5981,Mercedes-Benz,450 SEL,1977,179000,2,Saloon (4-doors),217,4520,8,4,Left (LHD),Automatic,3,Rear,Disc,Disc,Petrol,24279
