,Make,Series,Model,Manufacturer code,First registration date,Year of manufacture,Mileage (read),Chassis number,Engine number,Gearbox number,Matching numbers,Previous owners,Body style,Power (kW/hp),Cubic capacity (ccm),Cylinders,Doors,Steering,Gearbox,Gears,Transmission,Front breaks,Rear breaks,Fuel type,Price (£)
0,Chevrolet,Corvette,Corvette Stingray,C3 Serie II,01/1977,1977,"69,000 km",Not provided,CKZ,Not provided,Yes,3,Coupe (Targa),221/300 (Factory: 154/210),5735,8,2,Left (LHD),Manual,Not provided,Rear,Disc,Disc,Petrol,"32,634"
1,Lancia,Delta,Delta HF 4WD,831,02/1987,1987,"189,000 km",Not provided,Not provided,Not provided,No,Not provided,Saloon,121/165,1981,4,4,Left (LHD),Manual,Not provided,4WD,Not provided,Not provided,Petrol,"28,631"
2,Volkswagen,Golf,Golf Mk II 1.3,Typ 19E,05/1985,1985,"107,000 km",Not provided,Not provided,Not provided,Yes,1,Saloon,40/55,1272,4,5,Left (LHD),Manual,Not provided,Front,Disc,Drum,Petrol,"2,524"
3,FIAT,1100,1100-103 TV,Series II,05/1954,1954,"1,000 km",Not provided,Not provided,Not provided,Yes,Not provided,Saloon,37/50,1089,4,4,Left (LHD),Manual,Not provided,Rear,Not provided,Not provided,Petrol,rice on request
4,Jaguar,XJ S,XJR-S V12 Le Mans,Typ 11,05/1989,1989,"87,500 mls",Not provided,Not provided,Not provided,Yes,Not provided,Coupe,217/295,5343,12,2,Right (RHD),Automatic,3,Rear,Disc,Disc,Petrol,"25,237"
5,FIAT,1500,1500 L,Tipo 105,08/1963,1963,"68,000 km",Not provided,Not provided,Not provided,No,Not provided,Saloon,59/80,1481,4,4,Left (LHD),Manual,Not provided,Rear,Not provided,Not provided,Petrol,"5,134"
6,Innocenti,Mini,Mini Cooper 1000,Serie II,01/1972,1972,"4,200 km",Not provided,Not provided,Not provided,No,Not provided,Saloon (2-doors),35/48,998,4,2,Left (LHD),Manual,Not provided,Front,Not provided,Not provided,Petrol,"12,096"
7,Volkswagen,Beetle,Beetle 1303,Typ 17,01/1974,1974,"68,000 km",Not provided,Not provided,Not provided,Yes,2,Convertible,25/34,1285,4,2,Left (LHD),Manual,Not provided,Rear,Not provided,Not provided,Petrol,"13,837"
8,Alfa Romeo,GTV,2000 GT Veloce,Y3,01/1972,1972,"1,000 km",Not provided,Not provided,Not provided,No,Not provided,Coupe,96/131,1975,4,2,Left (LHD),Manual,5,Rear,Disc,Not provided,Petrol,"30,458"
9,FIAT,Appia,126,116E,01/1973,1973,"41,600 km",Not provided,Not provided,Not provided,Yes,1,Saloon (2-doors),18/24,652,2,2,Left (LHD),Manual,Not provided,Rear,Not provided,Not provided,Petrol,"6,005"
10,Lancia,850,Appia C10,Model 68,04/1958,1958,"59,218 km",Not provided,Not provided,Not provided,No,Not provided,Saloon,32/43,1090,4,2,Left (LHD),Manual,Not provided,Rear,Not provided,Not provided,Petrol,"10,443"
11,Abarth,Golf,Fiat 850 TC,W 126,01/1960,1960,"56,000 km",Not provided,Not provided,Not provided,No,Not provided,Saloon (Small Car),38/52,847,4,2,Left (LHD),Manual,Not provided,Rear,Not provided,Not provided,Petrol,"14,359"
12,Volkswagen,595,Golf Mk I GTI 1.6,8N,06/1981,1981,"104,379 km",Not provided,Not provided,Not provided,No,Not provided,Saloon (3-doors),81/110,1588,4,3,Left (LHD),Manual,Not provided,Front,Not provided,Not provided,Not provided,"19,145"
13,Abarth,Esprit,Fiat 595,W 201,02/1972,1967,100 km,Not provided,Not provided,Not provided,No,Not provided,Saloon (2-doors),20/27,850 (Factory: 594),4,2,Left (LHD),Manual,Not provided,Rear,Not provided,Not provided,Petrol,"23,496"
14,Lotus,XM,Esprit SE,Serie I (Tipo AM 101/S),07/1989,1989,"31,715 km",Not provided,Not provided,Not provided,Yes,1,Coupe,197/268,2174,4,2,Left (LHD),Manual,Not provided,Rear,Not provided,Not provided,Petrol,"52,214"
15,Citroën,Mini,XM Injection,E30,01/1992,1992,"57,000 km",Not provided,Not provided,Not provided,No,2,Saloon (5-doors),89/121,1998,4,5,Left (LHD),Manual,Not provided,Front,Not provided,Not provided,Petrol,"10,443"
16,Innocenti,Consul,Mini Cooper 1300,Ascona B,11/1973,1973,"1,000 km",Not provided,Not provided,Not provided,No,Not provided,Saloon (2-doors),96/131 (Factory: 46/63),1275,4,2,Left (LHD),Manual,Not provided,Front,Not provided,Not provided,Petrol,"19,145"
17,Lancia,1100,Appia,"""G-Modell""",04/1959,1959,"54,000 km",Not provided,Not provided,Not provided,No,1,Coupe,39/53,1090,4,2,Left (LHD),Manual,Not provided,Rear,Not provided,Not provided,Petrol,"30,458"
18,Ford,S-Class,Consul Capri,W 111,08/1963,1963,"53,000 km",Not provided,Not provided,Not provided,No,Not provided,Coupe,44/60,1498,4,2,Left (LHD),Manual,Not provided,Rear,Not provided,Not provided,Not provided,"21,756"
19,Ford,600,V8,"""Urmodell""",03/1950,1935,"1,000 km",Not provided,Not provided,Not provided,No,1,Convertible,294/400 (Factory: 63/85),3270,8,4,Left (LHD),Semi-Automatic,Not provided,Rear,Drum,Drum,Petrol,"47,863"
20,FIAT,TT,1100-103 Vignale,C 124,12/1955,1955,"43,317 km",Not provided,Not provided,Not provided,No,Not provided,Saloon,37/50,1089,4,Not provided,Left (LHD),Manual,Not provided,Rear,Not provided,Not provided,Petrol,"24,366"
21,Mercedes-Benz,190,380 SE,951,02/1981,1981,"148,000 km",Not provided,Not provided,Not provided,No,Not provided,Saloon (4-doors),150/204,3839,8,4,Left (LHD),Automatic,4,Rear,Disc,Disc,Petrol,"7,832"
22,FIAT,3 Series,600 D,C-F,Not provided,1967,"3,700 km",Not provided,Not provided,Not provided,No,Not provided,Saloon (2-doors),18/25,1 (Factory: 767),4,2,Left (LHD),Manual,Not provided,Rear,Not provided,Not provided,Petrol,"7,745"
23,Pegaso,Ascona,Z-102,R 107,Not provided,1954,Not provided,Not provided,Not provided,Not provided,No,Not provided,Coupe,118/160,3200 (Factory: 2472),8,Not provided,Left (LHD),Manual,Not provided,Rear,Not provided,Not provided,Petrol,rice on request
24,Audi,911,TT 1.8 T quattro,W 202,02/2000,2000,"99,800 km",Not provided,Not provided,Not provided,No,3,Coupe,185/251 (Factory: 165/224),1781,4,2,Left (LHD),Manual,6,4WD,Disc,Disc,Petrol,"14,785"
25,Mercedes-Benz,220,190 E 2.6,R 230,10/1990,1990,"139,500 km",Not provided,Not provided,Not provided,No,2,Saloon (4-doors),162/220 (Factory: 118/160),2960 (Factory: 2597),6,4,Left (LHD),Manual,Not provided,Rear,Disc,Disc,Petrol,"21,747"
26,Maserati,911,Sebring,C 216,Not provided,1963,Not provided,AM101*01937*,Not provided,Not provided,Yes,Not provided,Coupe,173/235,3485,6,2,Left (LHD),Manual,5,Rear,Disc,Disc,Petrol,"145,000"
27,BMW,E-Class,325i,R 129,07/1987,1987,"87,330 km",Not provided,Not provided,Not provided,Yes,2,Convertible,125/170,2467,6,2,Left (LHD),Manual,Not provided,Rear,Disc,Disc,Petrol,"28,256"
28,Opel,944,Ascona 400,W 460,04/1982,1982,"1,113 km",Not provided,Not provided,Not provided,No,2,Racing car (2-doors),147/200 (Factory: 177/240),2400,4,2,Left (LHD),Manual,5,Rear,Disc,Disc,Petrol,rice on request
29,Porsche,400,911 Carrera 3.2,W 111,04/1987,1987,Not provided,Not provided,Not provided,Not provided,Yes,3,Convertible,170/231,3164,6,2,Left (LHD),Manual,Not provided,Rear,Disc,Disc,Petrol,"60,839"
30,Mercedes-Benz,PV 544,220 SE b,Typ 14,01/1963,1963,Not provided,Not provided,Not provided,Not provided,No,Not provided,Convertible,88/120,2195,6,2,Left (LHD),Manual,Not provided,Rear,Disc,Drum,Petrol,"95,725"
31,Porsche,SL-Class,911 2.4 T,Series II,03/1973,1973,257 mls,Not provided,Not provided,Not provided,Yes,Not provided,Coupe,103/140,2341,6,2,Left (LHD),Manual,5,Rear,Disc,Disc,Petrol,rice on request
32,Peugeot,C-Class,402,Serie II,03/1937,1936,"1,000 km",637317,41903,Not provided,No,Not provided,Saloon,40/55,1991,4,Not provided,Left (LHD),Manual,Not provided,Rear,Not provided,Not provided,Petrol,"10,356"
33,Mercedes-Benz,SL-Class,230 CE,Typ 113,07/1988,1988,"5,490 km",Not provided,Not provided,Not provided,Yes,1,Coupe,97/132,2299,4,2,Left (LHD),Manual,Not provided,Rear,Disc,Disc,Petrol,"42,554"
34,Porsche,CL-Class,944 Turbo,Mustang I Serie 1 | A-Code,09/1990,1990,"72,600 km",Not provided,Not provided,Not provided,Yes,4,Coupe,184/250,2449,4,2,Left (LHD),Manual,Not provided,Rear,Disc,Disc,Petrol,"34,722"
35,Ferrari,SL-Class,400 GT,J80,06/1980,1978,92 km,255 81,356,114,Yes,Not provided,Coupe,250/340,4823,12,2,Left (LHD),Manual,Not provided,Rear,Disc,Disc,Petrol,rice on request
36,Volvo,G-Class,PV 544 Sport,"""G-Modell""",04/1962,1962,Not provided,Not provided,Not provided,Not provided,No,Not provided,Saloon (2-doors),99/135 (Factory: 59/80),1778,4,2,Left (LHD),Manual,Not provided,Rear,Not provided,Not provided,Petrol,rice on request
37,Mercedes-Benz,Herald,420 SL,W 113,Not provided,1989,"110,000 mls",Not provided,Not provided,Not provided,No,Not provided,Convertible (Roadster),160/218,4196,8,2,Right (RHD),Automatic,4,Rear,Disc,Disc,Petrol,rice on request
38,Mercedes-Benz,fintail,C 36 AMG,F20,Not provided,1996,"83,900 mls",Not provided,Not provided,Not provided,No,Not provided,Saloon (4-doors),206/280,3606,6,4,Right (RHD),Automatic,Not provided,Rear,Disc,Disc,Petrol,rice on request
39,Mercedes-Benz,TR 4,SL 500,8T,Not provided,2005,"60,679 mls",Not provided,Not provided,Not provided,No,Not provided,Convertible (Roadster),285/388,5461,8,2,Right (RHD),Automatic,7,Rear,Disc,Disc,Petrol,"8,000"
40,Mercedes-Benz,Karmann Ghia,CL 500,Serie III,Not provided,2009,"10,600 mls",Not provided,Not provided,Not provided,No,Not provided,Coupe,285/388,5461,8,2,Right (RHD),Automatic,7,Rear,Disc,Disc,Petrol,rice on request
41,Mercedes-Benz,XJ S,SL 60 AMG,Serie II A,Not provided,1997,"93,014 mls",Not provided,Not provided,Not provided,No,Not provided,Convertible (Roadster),280/381,5956,8,2,Right (RHD),Automatic,Not provided,Rear,Disc,Disc,Petrol,rice on request
42,Mercedes-Benz,Beetle,230 GE (SWB),996,Not provided,1987,"149,000 mls",Not provided,Not provided,Not provided,No,Not provided,4x4,92/125,2299,4,3,Right (RHD),Automatic,Not provided,4WD,Not provided,Not provided,Petrol,rice on request
43,Triumph,Mustang,Herald 13/60,1a,01/1969,1969,"4,622 km",Not provided,Not provided,Not provided,No,Not provided,Convertible,45/61,1296,4,2,Left (LHD),Manual,Not provided,Rear,Not provided,Not provided,Petrol,"26,063"
44,Mercedes-Benz,Land Cruiser,220 SE b,Serie II,01/1964,1964,"14,158 km",Not provided,Not provided,Not provided,No,Not provided,Saloon (4-doors),88/120,2195,6,4,Left (LHD),Manual,4,Rear,Disc,Drum,Petrol,"26,063"
45,Triumph,850,TR 4A IRS,C4,01/1966,1966,"84,221 km",Not provided,Not provided,Not provided,No,Not provided,Convertible,76/104,2138,4,2,Left (LHD),Manual,Not provided,Rear,Not provided,Not provided,Petrol,"39,117"
46,Volkswagen,911,Karmann Ghia 1600,M 151,01/1971,1971,"103,819 km",Not provided,Not provided,Not provided,No,Not provided,Coupe,37/50,1584,4,2,Left (LHD),Manual,Not provided,Rear,Not provided,Not provided,Petrol,"21,712"
47,Jaguar,SL-Class,XJS 5.3 V12,Tipo 916,01/1989,1989,"113,718 km",Not provided,Not provided,Not provided,No,Not provided,Convertible,207/281,5345,12,2,Left (LHD),Automatic,Not provided,Rear,Disc,Disc,Petrol,"43,468"
48,Jaguar,1 Series,E-Type,Tipo 115 - Serie 2a,01/1970,1970,"96,887 km",Not provided,Not provided,Not provided,No,Not provided,Coupe,195/265,4235,6,2,Left (LHD),Manual,Not provided,Rear,Not provided,Not provided,Petrol,"78,277"
49,Volkswagen,A5,Beetle 1600,Serie IIA,01/1978,1978,"75,138 km",Not provided,Not provided,Not provided,No,Not provided,Convertible,34/46,1584,4,2,Not specified,Manual,Not provided,Rear,Not provided,Not provided,Petrol,"26,063"
50,Ford,Ritmo,Mustang 289,KAD B,01/1965,1965,"145,937 km",Not provided,Not provided,Not provided,No,Not provided,Convertible,168/228,4700,8,2,Not specified,Automatic,Not provided,Rear,Drum,Drum,Petrol,"86,979"
51,Toyota,911,Land Cruiser HDJ80,B Serie III,01/1997,1997,"288,590 km",Not provided,Not provided,Not provided,No,Not provided,4x4,125/170,4164,6,4,Not specified,Manual,Not provided,4WD,Disc,Disc,Diesel,"39,117"
52,FIAT,7,850 Sport Spider,KAD B,01/1972,1972,481 km,Not provided,Not provided,Not provided,No,Not provided,Convertible (Roadster),38/52,903,4,2,Not specified,Manual,Not provided,Rear,Not provided,Not provided,Petrol,"16,491"
53,Porsche,75,911 Carrera 3.2,DM,03/1986,1986,"156,350 km",Not provided,Not provided,Not provided,No,2,Convertible (Targa),160/217,3164,6,2,Not specified,Manual,Not provided,Rear,Disc,Disc,Petrol,"54,737"
54,Mercedes-Benz,E-Type,280 SL,700,07/1969,1969,"94,000 km",11304412009702,Not provided,Not provided,Yes,Not provided,Convertible (Roadster),125/170,2778,6,2,Left (LHD),Automatic,Not provided,Rear,Disc,Disc,Petrol,"87,023"
55,BMW,Mark VI,M140i,W 123,10/2016,2016,"104,600 km",Not provided,Not provided,Not provided,No,2,Saloon (5-doors),250/340,2998,6,5,Not specified,Automatic,Not provided,Rear,Disc,Disc,Petrol,"26,011"
56,Audi,Mutt,S5 Coupé,W 108,02/2008,2008,"118,200 km",Not provided,Not provided,Not provided,No,Not provided,Coupe,260/354,4163,8,2,Not specified,Manual,6,4WD,Disc,Disc,Petrol,"16,526"
57,Land Rover,GTV,109,Typ 106.01,Not provided,1975,"69,000 km",Not provided,Not provided,Not provided,Yes,Not provided,4x4,46/62,2286,4,Not provided,Left (LHD),Manual,Not provided,4WD,Not provided,Not provided,Petrol,rice on request
58,Land Rover,Spider,88,120,Not provided,1973,"104,000 km",Not provided,Not provided,Not provided,Yes,Not provided,4x4,46/63,2286,4,Not provided,Left (LHD),Manual,4,4WD,Drum,Drum,Diesel,rice on request
59,FIAT,88,Ritmo 130 TC Abarth,996,01/1987,1986,"100,000 km",Not provided,Not provided,Not provided,No,Not provided,Saloon (3-doors),96/131,1981,4,3,Left (LHD),Manual,Not provided,Front,Disc,Not provided,Petrol,"14,707"
60,Porsche,Admiral,911 Carrera,B,05/1999,1999,"23,271 km",Not provided,Not provided,Not provided,No,Not provided,Coupe,221/300,3387,6,2,Left (LHD),Automatic,Not provided,Rear,Disc,Disc,Petrol,"36,541"
61,Austin,Admiral,7 Chummy,W 121 B II,07/1929,1929,Not provided,87872,1A504 AF,83786,No,2,Convertible (Tourer),7/10,748,4,2,Left (LHD),Manual,Not provided,Rear,Not provided,Not provided,Not provided,"1,500"
62,Alfa Romeo,ID,75 2.0 Twin Spark,R 129,04/1987,1987,"142,000 km",Not provided,Not provided,Not provided,No,2,Saloon,109/148,1948,4,4,Left (LHD),Manual,Not provided,Rear,Not provided,Not provided,Not provided,"15,229"
63,Nissan,Alfetta,Cherry,Typ 2,07/1983,1983,Not provided,Not provided,Not provided,Not provided,No,Not provided,Saloon (3-doors),87/118 (Factory: 44/60),1261,4,3,Left (LHD),Manual,Not provided,Front,Not provided,Not provided,Petrol,"1,305"
64,Jaguar,600,E-Type (2+2),"""G-Modell""",06/1969,1969,"39,717 km",Not provided,Not provided,Not provided,Yes,2,Coupe,195/265,4235,6,2,Left (LHD),Automatic,Not provided,Rear,Not provided,Not provided,Petrol,"16,534"
65,Chevrolet,780,Corvette,W 115,07/1990,1990,"42,500 km",1G1YY2386L5108079,Not provided,Not provided,No,3,Coupe (Targa),182/248,5733,8,2,Left (LHD),Manual,Not provided,Rear,Disc,Disc,Petrol,"24,802"
66,Bentley,308,Mark VI Mulliner,FA,07/1950,1950,"4,863 mls",Not provided,Not provided,Not provided,No,2,Convertible,101/137,4257,6,2,Right (RHD),Manual,Not provided,Rear,Not provided,Not provided,Petrol,"86,936"
67,Ford,123,M 151 A1 (Mutt),W 111,08/1968,1968,Not provided,Not provided,Not provided,Not provided,No,1,4x4,52/71,2310,4,2,Left (LHD),Manual,Not provided,Rear,Not provided,Not provided,Not provided,"25,019"
68,Alfa Romeo,280,GTV 2.0 Twin Spark,R 107,Not provided,1996,Not provided,Not provided,Not provided,Not provided,No,Not provided,Coupe (2-doors),110/150,1970,4,3,Left (LHD),Manual,5,Front,Disc,Disc,Petrol,"9,137"
69,Alfa Romeo,2600,2000 Spider Veloce,964,04/1979,1979,"82,000 km",Not provided,Not provided,Not provided,No,> 6,Convertible,93/127,1962,4,2,Left (LHD),Manual,5,Rear,Disc,Disc,Petrol,"21,321"
70,Land Rover,Dino,88 Lightweight,"""Urmodell""",07/1974,1974,"42,000 km",95102860A,Not provided,Not provided,No,2,4x4,93/126 (Factory: 57/77),3470 (Factory: 2286),8,3,Left (LHD),Manual,Not provided,4WD,Not provided,Not provided,Petrol,"30,458"
71,Opel,XK,"Admiral 2,8 S",X 253,06/1970,1970,"128,000 km",Not provided,Not provided,Not provided,No,2,Saloon (4-doors),97/132,2784,6,4,Left (LHD),Manual,Not provided,Rear,Not provided,Not provided,Not provided,"16,534"
72,MG,911,MGB,820.210,05/1973,1973,"63,000 km",GHN5UD304085G01,Not provided,Not provided,No,2,Convertible (Roadster),71/96,1798,4,2,Left (LHD),Manual,Not provided,Rear,Disc,Not provided,Petrol,"10,443"
73,Opel,356,"Admiral 2,8 S",993,06/1970,1970,"128,000 km",Not provided,Not provided,Not provided,No,2,Saloon (4-doors),97/132,2784,6,4,Left (LHD),Manual,Not provided,Rear,Not provided,Not provided,Not provided,"16,534"
74,Citroën,Giulia,ID 19,"""G-Modell""",12/1966,1966,"101,000 km",3720305,Not provided,Not provided,No,Not provided,Saloon (4-doors),51/70,1985,4,4,Left (LHD),Manual,Not provided,Front,Not provided,Not provided,Not provided,"16,394"
75,Alfa Romeo,SL-Class,GTV 6 2.5,C,05/1986,1986,"60,600 km",Not provided,Not provided,Not provided,Yes,Not provided,Coupe,116/158,2492,6,2,Left (LHD),Manual,Not provided,Rear,Disc,Disc,Petrol,"28,299"
76,Jaguar,SL-Class,420 G,Typ 1900,05/1969,1969,"91,791 mls",Not provided,Not provided,Not provided,No,Not provided,Saloon,195/265,4235,6,4,Right (RHD),Automatic,Not provided,Rear,Not provided,Not provided,Petrol,"14,185"
77,FIAT,Transporter,600 D Multipla,"""G-Modell""",Not provided,1963,"60,000 km",Not provided,Not provided,Not provided,No,Not provided,Bus,21/29,767,4,Not provided,Left (LHD),Manual,Not provided,Rear,Not provided,Drum,Petrol,"21,669"
78,Volvo,911,780 Bertone 2.8 V6,Serie II,05/1990,1990,"201,000 km",YV17826970D009903,Not provided,Not provided,No,3,Coupe,108/147,2849,6,2,Left (LHD),Automatic,4,Rear,Disc,Disc,Petrol,"23,061"
79,Ferrari,/8,308 GTSi (US),A,07/1981,1981,"60,000 km",Not provided,Not provided,Not provided,Yes,3,Convertible (Targa),151/205,2906,8,2,Left (LHD),Manual,5,Rear,Disc,Disc,Petrol,"126,183"
80,Mercedes-Benz,DS,230 CE,Serie II,07/1984,1984,"349,152 km",WDB1232431A170952,Not provided,Not provided,Yes,2,Coupe,100/136,2276,4,2,Left (LHD),Automatic,Not provided,Rear,Disc,Disc,Petrol,"10,791"
81,Ford,Vixen,Model A,968,01/1931,1931,"1,234 km",Not provided,Not provided,Not provided,No,Not provided,Convertible (Roadster),29/40,3263,4,2,Left (LHD),Manual,Not provided,Rear,Not provided,Not provided,Not provided,"26,063"
82,Mercedes-Benz,250,280 S,B Serie II,06/1970,1970,"101,000 km",Not provided,Not provided,Not provided,Yes,Not provided,Saloon (4-doors),103/140,2778,6,4,Left (LHD),Manual,Not provided,Rear,Disc,Disc,Petrol,"16,099"
83,Alfa Romeo,308,2600 Spider,ADO 30,Not provided,1966,Not provided,Not provided,Not provided,Not provided,No,Not provided,Convertible,107/145,2584,6,2,Left (LHD),Manual,Not provided,Rear,Disc,Not provided,Petrol,"36,550"
84,FIAT,SL-Class,Dino 2400 Coupe,X100,01/1970,1970,1 km,Not provided,Not provided,Not provided,No,Not provided,Coupe,132/180,2418,6,Not provided,Left (LHD),Manual,Not provided,Rear,Not provided,Not provided,Petrol,"56,565"
85,Jaguar,Giulia,XK 120 OTS,Serie II,01/1951,1951,"100,000 km",Not provided,Not provided,Not provided,No,Not provided,Convertible (Roadster),119/162,3442,6,2,Left (LHD),Manual,Not provided,Rear,Not provided,Not provided,Petrol,"36,550"
86,Porsche,911,911 Carrera,Serie III,Not provided,2000,Not provided,Not provided,Not provided,Not provided,No,Not provided,Convertible,221/300,3387,6,2,Left (LHD),Manual,Not provided,Rear,Disc,Disc,Petrol,"36,985"
87,Porsche,911,356 B 1600 Roadster,3Y,Not provided,1959,"100,000 km",Not provided,Not provided,Not provided,No,Not provided,Convertible,44/60,1582,4,Not provided,Left (LHD),Manual,Not provided,Rear,Not provided,Not provided,Petrol,"100,076"
88,Alfa Romeo,GLC,Giulia 1600 Spider,Serie II A,Not provided,1964,"100,000 km",Not provided,Not provided,Not provided,No,Not provided,Convertible,68/92,1570,4,2,Left (LHD),Manual,Not provided,Rear,Not provided,Not provided,Petrol,rice on request
89,Mercedes-Benz,2000,190 SL,Kadett E,07/1962,1962,"2,913 km",Not provided,Not provided,Not provided,No,Not provided,Convertible (Roadster),77/105,1897,4,2,Left (LHD),Manual,4,Rear,Drum,Drum,Petrol,"117,394"
90,Mercedes-Benz,911,SL 280,Typ 115.24,01/1995,1995,"92,488 km",WDB1290581F105720,Not provided,Not provided,Yes,1,Convertible (Roadster),142/193,2799,6,2,Left (LHD),Manual,Not provided,Rear,Disc,Disc,Petrol,"27,760"
91,Volkswagen,Giulia,T2b Westfalia,W 113,03/1975,1975,Not provided,2342029123,AS049043,Not provided,No,Not provided,Bus (Camper),35/47,1584,4,3,Right (RHD),Manual,Not provided,Rear,Not provided,Not provided,Petrol,rice on request
92,Porsche,911,911 Carrera 3.2,Serie I,03/1987,1987,"166,971 km",Not provided,Not provided,Not provided,No,Not provided,Convertible,170/231,3164,6,2,Left (LHD),Manual,Not provided,Rear,Disc,Disc,Petrol,"61,778"
93,Mercedes-Benz,356,200,575,04/1975,1975,"288,050 km",Not provided,Not provided,Not provided,No,2,Saloon,70/95,1988,4,4,Left (LHD),Automatic,Not provided,Rear,Not provided,Not provided,Not provided,"17,318"
94,Citroën,1900,DS 21 IE Pallas,W 121 B II,04/1970,1970,Not provided,Not provided,Not provided,Not provided,No,1,Saloon (4-doors),88/120,2175,4,4,Left (LHD),Semi-Automatic,5,Front,Not provided,Not provided,Petrol,"29,950"
95,TVR,Alfetta,Vixen Series 3,W 121 B II,07/1972,1972,"34,361 km",Not provided,Not provided,Not provided,No,Not provided,Coupe,140/190 (Factory: 63/86),3509 (Factory: 1599),8,2,Right (RHD),Manual,Not provided,Rear,Not provided,Not provided,Petrol,"43,076"
96,Mercedes-Benz,Giulia,250 SE,W 121 B II,05/1966,1966,"161,000 km",11102110085712,12998010005344,Not provided,Yes,5,Coupe,110/150,2496,6,2,Left (LHD),Manual,4,Rear,Disc,Disc,Petrol,"46,122"
97,Ferrari,911,308 GTB,W 187,09/1977,1977,"46,282 km",Not provided,Not provided,Not provided,No,Not provided,Coupe,167/227,2926,8,2,Left (LHD),Manual,5,Rear,Disc,Disc,Petrol,"73,534"
98,Mercedes-Benz,2000,280 SL,W 113,02/1984,1984,"110,817 mls",WDB1070421A012725,Not provided,Not provided,No,Not provided,Convertible (Roadster),136/185,2746,6,2,Left (LHD),Automatic,Not provided,Rear,Disc,Disc,Petrol,"16,317"
99,Alfa Romeo,356,Giulia GT 1300 Junior,W 113,04/1966,1966,97 km,Not provided,Not provided,Not provided,No,Not provided,Coupe,97/132 (Factory: 65/89),2000 (Factory: 1290),4,2,Left (LHD),Manual,Not provided,Rear,Disc,Not provided,Petrol,"41,771"
100,Porsche,Fulvia,911 Carrera 2,R 129,Not provided,1991,"145,000 km",Not provided,Not provided,Not provided,No,Not provided,Coupe,184/250,3600,6,2,Left (LHD),Automatic,Not provided,Rear,Disc,Disc,Petrol,"66,137"
101,Porsche,MGB,911 2.2 T,W 198 I,Not provided,1969,"82,000 mls",Not provided,Not provided,Not provided,Yes,Not provided,Convertible (Targa),92/125,2195,6,2,Left (LHD),Manual,Not provided,Rear,Disc,Disc,Petrol,"100,072"
102,Rolls-Royce,DB 7,Ghost,R 107,Not provided,2016,"11,300 mls",Not provided,Not provided,Not provided,No,Not provided,Saloon (4-doors),420/571,6592,12,4,Right (RHD),Automatic,8,Rear,Disc,Disc,Petrol,"110,000"
103,Alfa Romeo,3000,Montreal,W 100,01/1971,1971,"19,600 km",Not provided,Not provided,Not provided,No,Not provided,Coupe,143/195,2593,8,2,Left (LHD),Manual,5,Rear,Disc,Disc,Petrol,"60,046"
104,Mercedes-Benz,XK8,GLC 63 S AMG 4MATIC+,W 100,Not provided,2019,"24,900 mls",Not provided,Not provided,Not provided,No,Not provided,4x4,375/510,3982,8,5,Right (RHD),Automatic,9,4WD,Disc,Disc,Petrol,"59,950"
105,Lancia,Dolomite,2000 Coupe,W 140,Not provided,1972,"64,000 km",Not provided,Not provided,Not provided,No,Not provided,Coupe,85/115,1991,4,2,Left (LHD),Manual,5,Front,Disc,Disc,Petrol,"23,235"
106,Porsche,E-Type,911 Carrera,C 140,01/1994,1994,"97,600 km",Not provided,Not provided,Not provided,Yes,2,Coupe,200/272,3600,6,2,Left (LHD),Manual,Not provided,Rear,Disc,Disc,Petrol,"69,531"
107,Alfa Romeo,205,Giulia 1300 TI,R 230,Not provided,1969,Not provided,Not provided,Not provided,Not provided,No,Not provided,Saloon (4-doors),60/82,1290,4,4,Left (LHD),Manual,Not provided,Rear,Disc,Not provided,Petrol,"22,191"
108,Porsche,2.5 Litre,911 SC 3.0,X100,Not provided,1982,Not provided,Not provided,Not provided,Not provided,Yes,Not provided,Convertible (Targa),132/180,2994,6,2,Left (LHD),Manual,Not provided,Rear,Disc,Disc,Petrol,"53,954"
109,Porsche,V8,356 C 1600 SC,S 124,10/1964,1964,"97,070 km",Not provided,Not provided,Not provided,Yes,Not provided,Coupe,70/95,1582,4,2,Left (LHD),Manual,4,Rear,Disc,Disc,Petrol,"112,260"
110,Alfa Romeo,E-Type,1900 C Super Sprint Touring,Serie III,02/1954,1954,"99,500 km",AR1900C*01880,AR1308 00894,Not provided,Yes,Not provided,Coupe,85/115,1975,4,2,Left (LHD),Manual,Not provided,Rear,Not provided,Not provided,Petrol,rice on request
111,De Tomaso,V8,Pantera,W 120,01/1972,1972,Not provided,Not provided,Not provided,Not provided,No,Not provided,Coupe,243/330,5766,8,2,Left (LHD),Manual,5,Rear,Disc,Disc,Petrol,"85,718"
112,Alfa Romeo,V8,Alfetta GT 1.6,R 107,05/1977,1977,"37,600 km",Not provided,Not provided,Not provided,Yes,2,Coupe,79/108,1570,4,2,Left (LHD),Manual,Not provided,Rear,Not provided,Not provided,Not provided,"18,710"
113,Alfa Romeo,Vanquish,Giulia 1600 Spider,R 107,04/1965,1964,"12,250 km",Not provided,Not provided,Not provided,No,Not provided,Convertible,68/92,1570,4,2,Left (LHD),Manual,Not provided,Rear,Not provided,Not provided,Petrol,"60,046"
