,Make,Series,Model,Manufacturer code,First registration date,Year of manufacture,Mileage (read),Chassis number,Engine number,Gearbox number,Matching numbers,Previous owners,Body style,Power (kW/hp),Cubic capacity (ccm),Cylinders,Doors,Steering,Gearbox,Gears,Transmission,Front breaks,Rear breaks,Fuel type,Price (£)
5136,Land Rover,TR 4,Defender 90 TD4,YS3F,09/2008,2008,"111,606 km",Not provided,Not provided,Not provided,No,2,4x4 (Open),90/122,2402,4,3,Left (LHD),Manual,5,4WD,Disc,Disc,Diesel,"39,073"
5137,Volvo,Giulia,P 142,"""Urmodell""",12/1973,1973,"151,783 km",Not provided,Not provided,Not provided,No,4,Saloon (2-doors),60/82,1986,4,2,Left (LHD),Manual,Not provided,Rear,Not provided,Not provided,Petrol,"5,134"
5138,Austin,S-Class,Mini Mayfair,"""Urmodell""",07/1991,1991,"75,993 km",Not provided,Not provided,Not provided,No,> 6,Saloon (2-doors),31/42,998,4,0,Left (LHD),Manual,4,Front,Not provided,Not provided,Petrol,"11,226"
5139,Ford,4/4,Mustang GT,Typ 502,02/1965,1965,"41,160 mls",Not provided,Not provided,Not provided,No,1,Coupe (Hardtop),202/275,4700,8,2,Left (LHD),Automatic,Not provided,Rear,Drum,Drum,Petrol,"21,669"
5140,Mini,Silver Shadow,1000,Series III,10/1976,1976,"72,137 km",Not provided,Not provided,Not provided,No,> 6,Convertible,40/54 (Factory: 29/39),998,4,2,Left (LHD),Manual,Not provided,Front,Not provided,Not provided,Petrol,"15,577"
5141,Mercedes-Benz,MGA,CL 600,Serie III,05/2001,2001,"126,233 km",Not provided,Not provided,Not provided,No,4,Coupe,270/367,5786,12,2,Left (LHD),Automatic,5,Rear,Disc,Disc,Petrol,"11,226"
5142,FIAT,Type H,124 Spider CS1,"""G-Modell""",06/1978,1978,"33,611 mls",Not provided,Not provided,Not provided,No,> 6,Convertible,63/86,1800,4,2,Left (LHD),Manual,Not provided,Rear,Disc,Disc,Petrol,"14,707"
5143,Mazda,124,MX-5 2.0,Serie I,03/2009,2009,"109,047 km",Not provided,Not provided,Not provided,No,1,Convertible (Roadster),118/160,1999,4,2,Left (LHD),Manual,Not provided,Rear,Disc,Disc,Petrol,"13,837"
5144,Mercedes-Benz,Fleetwood,190 D,W 111,09/1985,1985,"279,719 km",Not provided,Not provided,Not provided,No,3,Saloon (4-doors),53/72,1997,4,4,Left (LHD),Automatic,Not provided,Rear,Disc,Not provided,Diesel,"11,226"
5145,Mercedes-Benz,MGA,190 D,930,10/1986,1986,"181,312 km",Not provided,Not provided,Not provided,No,> 6,Saloon (4-doors),53/72,1997,4,4,Left (LHD),Automatic,Not provided,Rear,Disc,Not provided,Diesel,"11,226"
5146,Mercedes-Benz,356,190 D,W 126,02/1986,1986,"172,417 km",Not provided,Not provided,Not provided,No,> 6,Saloon (4-doors),53/72,1997,4,4,Left (LHD),Automatic,Not provided,Rear,Disc,Not provided,Diesel,"11,226"
5147,Mercedes-Benz,4/4,190 D 2.2,S30,11/1985,1985,"116,850 km",Not provided,Not provided,Not provided,No,> 6,Saloon (4-doors),66/90 (Factory: 54/73),2500 (Factory: 2197),5,4,Left (LHD),Automatic,Not provided,Rear,Disc,Disc,Diesel,"13,837"
5148,Mercedes-Benz,Sprite,190 D 2.5,W 07,01/1986,1986,"185,754 km",Not provided,Not provided,Not provided,No,> 6,Saloon (4-doors),66/90,2497,5,4,Left (LHD),Manual,Not provided,Rear,Disc,Not provided,Diesel,"4,264"
